header,price_cad,sales,seller,details,description,availability,num_reviews
Men's Paracord Bracelet Black Custom Metal Fish Hook Rope Leather Customization Gift Barestone Spring Summer Bracelet,33.11,2319.0,BARESTONE,"['Handmade item', 'Materials: Nylon', 'Closure: Hook', 'Adjustable: Yes', 'Can be personalised: Yes']","FISH HOOK BRACELET:The paracord cord bracelet is made with 550 rope and one fish hook closure. The bracelet is also accented with customizable wrapped bands that secure the bracelet on your wrist.  Leather (Leather available in black and brown only). The picture shows black leather accent wrap near the fish hook and near the opposite end of the loop.HOW FAST IS SHIPPING?Make your purchase today and choose one of our shipping options. We usually process orders in one day for even faster shipping. FISH HOOK SIZE:36.5mmORDERING INSTRUCTIONS:Select your size: (each bracelet is custom made so, if you need a specific length not listed, please send us a messageI DON'T KNOW MY SIZE!Measure your wrist, at the location you want it to fit, in inches by wrapping a string around it. Then, lay your string next to a ruler to obtain the correct size and choose an option close to your size.CAN I GIVE THIS AS A GIFT?Yes, If you have any special requests send us a message.WANT TO SEE MORE?Click here: barestone.etsy.com or let us know, and we will custom make a jewelry item just the way you want. Send us a message.Care instructionsPlease be gentle with your new pieces. Bathing, swimming, or practicing  in any vigorous activity may cause stress to BARESTONE  pieces and my lead to breakage or damage, for which BARESTONE is not responsible.All made specially for you with ♥💖 Thank you for visiting my shop, feel free to message me with any questions or comments!",Only 1 available,305
"Plastic Curved 5/8"" Side Release Buckle Black Paracord Bracelet Parachute 550 Backpack Dog Pets Collar Straps Bag Parts #FLC103-B",6.8,2368.0,CooBigoOfficialStore,['Materials: Plastic POM'],"Plastic Curved 5/8"" Side Release Buckle Black Paracord Bracelet Parachute 550 Backpack Dog Pets Collar Straps Bag Parts #FLC103-B-----------------------------QTY: 10 / 25 / 50 / 100 / 500 pcs-----------------------------Color:Black-----------------------------Made for 5/8""(15.8mm) Size:Approx. 40mm*22.6mm(L*W)Webbing Size:Approx.15.8mm",In stock,210
Police Thin Blue Line Paracord Bracelet,10.0,1237.0,FrontLine1Paracord,No info,"PLEASE READ: Sizing is very important. Use a material tape measure or a string to measure the area of your wrist, where you would wear your bracelet.DO NOT make it loose nor tight. I need the exact measurement of your wrist and I will add some to allow for a comfortable fit.",In stock,166
Navy Paracord Bracelet,13.91,94.0,jbsParacordCreations,No info,"Navy bracelet made from 550 paracord. A fishtail knot is used with navy paracord as the primary braid color, gold accent stitching, and a gold anchor. A variety of clasp types and colors can be picked. Examples of these clasps are located in the product photos. Please indicate the clasp color that you want in the personalization section. If no color is indicated, then black will be the default.Please measure your wrist in inches using a measuring tape. An accurate measurement is important to ensure you get the correct sized bracelet. The measurement that you provide will be the exact fit of the bracelet, including the clasp. If you want a looser fit, then please specify that in the personalization section. If your wrist measurement is less than 6"" or greater than 9"", please select the custom size option and provide your correct measurement in the personalization section. A photo of how to correctly measure your wrist is located in the product photos. If you wish to have an American hero bracelet made but we do not currently have a listing for it, please feel free to use the Custom American Hero Bracelet listing and we will be more than happy to have that made for you.If you have any questions, please reach out to us!",In stock,29
Bomb Camouflage Bracelet | Adjustable Paracord Bracelet | Military Bracelet | Wristband | Gifts for him,55.0,50.0,Onimen,"['Handmade item', 'Materials: Brass, Nylon', 'Adjustable: Yes', 'Closure: Lanyard', 'Made to Order']",USA Bomber Bracelet inspired by Vietnam War Era.Made with 100% USA made 550 paracord. Brass bomb bead and brass matching end bead. Adjustable.,In stock,11
"Paracord Bracelet Blue/White Men's, Women&Kids, Surfer Bracelet, Partner Bracelet, Friendship Bracelet, Survival Bracelet",13.0,760.0,BrudersRopes,"['Handmade item', 'Materials: Nylon', 'Style: Minimalist', 'Closure: Slide lock\n\nBracelet width: 4 Millimetres\n\nMade to Order']","100% HANDDING & SIZE VERSTELLBAR - Each BrudersRopes Paracord bracelet is handmade with attention to detail and is individually adjustable by two nautical sliding knots.HIGHEST QUALITY - The bracelets are made of high-quality 4 mm paracord, from the U.S.A., in Germany by hand and then undergo a quality control.PASSENDE SIZE - To determine the size, simply measure your wrist circumference using a cord and a ruler and select the appropriate size.ARMBAND FOR ALL - Whether as an outdoor survival bracelet or as a minimalist knot bracelet, the BrudersRopes Basic Bracelet is an ideal casual, understated accessory for men, women, boys & girls.PERFORMANCE GUARANTEE - Doesn't fit or does your expectations? A return is not a problem. Your satisfaction is our top priority!Characteristics:- Band: Blue/White - 4 mm ParacordProperties:-size adjustable (by Sail Nodes)-waterproof-durable-Colour-proof",In stock,75
paracord Survival Bracelet   (brown and Red Camo),25.0,63.0,ArbutusCoast,"['Handmade item', 'Closure: Buckle', 'Adjustable: No', 'Can be personalised: Yes']","Paracord Survival Bracelet.  These are hand made in Victoria BC Canada. Features are a flint fire starter, compass, whistle, cutting tool and 9 feet of rope. . We also make ones with 50 feet of 60 pound fishing line and 2 fish hooks inside (optional) The regular version and the fishing version are only a 5 dollar difference. We can make to custom fit any wrist size. Standard sizes are ....6....6.5.....7....7.5...8....8.5...9 We discovered that most of these survival bracelets out there are from china and poorly made. We seal them far better so they dont fall apart. Were creative with many different colour choices and can add and custom make to your liking.",In stock,6
Paracord Bracelet,4.17,6.0,MacsSurvivalKits,"['Handmade item\n\nBracelet width: .75 Inches\n\nMaterials: Nylon', 'Adjustable: No', 'Can be personalised: Yes']",These are old school paracord bracelets made the way Soldiers have made them for decades. It is woven from one long piece of paracord over a shorter piece. The closure is a knot and loop. These are great for the preparedness minded in your life and ensure they always have several feet of paracord on their person. Lengths vary so it is important to measure or estimate the wrist as closely as possible so it isn't too small or too large. The inner cord is black but I can substitute with other colors. Additional colors area available but may delay shipping by a day or two. Contact me with specific questions.,In stock,2
"Mixed Double BLACK BEE Simple KNOT Paracord Bracelet, Mens Womens Bracelet, Knotted Bracelet, Basic Jewelry, Minimalist, Kids Bracelet",10.71,2312.0,Deepbluelegend,"['Handmade item', 'Materials: paracord 4mm', 'Style: Minimalist', 'Made to Order']","This is a listing for 1 mixed simple knot Paracord bracelet in Turquoise Black and Black Bee colours. - 100% handmade in France- Made out of real Paracord 550, 4mm- the bracelet will wrap once around your wrist and makes for a nice subtle accessory bringing out the outdoor and adventurous person in you. Great to layer with other bracelets.- these bracelets make a great gift , the bracelets come in a fabric gift bag ready to be offered as a present.This bracelet is a great idea to extend your accessories to match as many outfits as possible.***** SIZEThere are 2 sizes available specially because the bracelet is adjustable on one side due to a sliding knot. Children size - S - is perfect for wrists from 10 - 14cm  (4"" to 5.5"")Women size - M - is perfect for wrists from 14 -17cm (5.5"" - 6.7"")Men size - L - is perfect for wrists from 17 - 20cm (6.7"" - 7.9"")In case you want a different size, you can leave your wrist dimension in the 'note to seller' before checking out.**********For the latest products and promo's follow the instagram account:@deepbluelegend",In stock,227
"Paracord bracelet, color black, charcoal gray and tan microcord. Dark silver metal shackle.",40.87,313.0,TheParacordSociety,"['Handmade item\n\nBracelet width: 3.3 Centimetres\n\nMaterials: Nylon', 'Closure: D-ring', 'Adjustable: No', 'Can be personalised: Yes', 'Made to Order']","Each Bracelet is Exceptionally Handcrafted with care in our Design Studio in AthensDetails about the Bracelet°°°°°°°°°°°°°°°°°°°°°°°°°°°°• 100% Handmade by us• Real American Made Type III 550lb Paracord• 100% Nylon Construction• Fashionable metal shackle to make putting the bracelet on Easy Measuring Your Wrist°°°°°°°°°°°°°°°°°°°°°°°To get the circumference of your wrist, just follow these simple steps:1 ► Wrap a measure tape around your wrist2 ► Make sure it is not too tight or too loose, just touching your skin 3 ► Measure the length you get ( Dont add any measurement )4 ► This is your wrist circumference!•• For Example, if your wrist measures at 18 cm, choose 18 cm in the sizes",In stock,78
"Paracord Rasta Bracelet, Rasta Bracelet, Paracord Bracelet, Braided Rasta Bracelet, Jamaican Bracelet, Reggae Rasta Bracelet, Rasta Colors",20.85,2713.0,ParacordInspirations,No info,"My bracelets are made with Type III 7 Strand 550 Paracord and 5/8 inch plastic side release contour buckles. IMPERATIVE THAT YOU FOLLOW SIZING INSTRUCTIONS***Bracelet sizing instructions - absolutely very important*** Please read before purchasingYou have to measure your wrist snug, but not tight and then add an inch to the snug fit, so the fit will be comfortable but not loose. This is the size you should purchase. Please double check your sizing before purchasing.  Paracord bracelets do not fit like normal bracelets, so if you have always had a 7 inch bracelet, do not buy a 7 inch bracelet, please measure first and then purchase. If you are between sizes, go up to the next highest size.  For example, if your snug wrist measures 7.25 inches, then you should choose a 8.5 inch bracelet. You can send me a message at purchase if you are between sizes for a better fit.These bracelets come with continuous 550 paracord - from 6 Feet to 10 Feet (depending on size ordered).**TURNAROUND**All my paracord items are handcrafted and made-to-order. Please visit the shipping tab on this page for our most current turnaround time. Paracord Rasta Bracelet, Rasta Bracelet, Paracord Bracelet, Braided Rasta Bracelet, Jamaican Bracelet, Reggae Rasta Bracelet, Rasta Colors",In stock,572
"Paracord Bracelet Bear, Viking bracelet, Totem Bracelet, Bronze buckle, Paracord Bead",200.31,744.0,ARHAIKAua,"['Handmade item', 'Materials: Bronze', 'Style: Celtic', 'Made to Order']","Made of:✅ Premium 550 Paracord with exclusive Bronze Buckle ""Bear"" and viking pattern.You can also choose the color of the paracord.The color scheme is indicated on one of the photosWe guarantee the quality of our product! In the event of a defect, we will replace the product or refund your money.",In stock,152
Cobra weave paracord bracelet,5.99,0.0,BraceletsByBenny,"['Handmade item\n\nBracelet length: 7.5 Inches\n\nMaterials: Nylon, Plastic', 'Closure: Interlocking']",Cobra weave paracord bracelet with 3D printed safety clip closure. Our neon and black speckled paracord is black light reactive.,In stock,No review
Golden Eagle - Paracord bracelet with Exclusive Buckle,155.79,273.0,RedrockByKandaurov,"['Handmade item', 'Materials: Nylon', 'Can be personalised: Yes', 'Made to Order']","“Golden Eagle""  - 550 Paracord bracelet with exclusive Bronze Buckle ""Golden Eagle""The color of paracord and weaving can be discussed in private messages.Paracord Atwood rope USA 🇺🇸 Attention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.If you want a different color or weaving, just contact me.",Low in stock,68
Gladiator Pewter Helmet Paracord Bracelet. Many colors to choose from. See Color Chart Photo,55.63,50.0,Spartanshoptx,No info,"GET THE PERFECT SIZEHere at Spartan Gear we custom build each piece of gear based on your exact wrist measurement. We want the size of your wrist, not the length you would like the bracelet. We ask that you follow these 3 steps closely:1) Take a tape measure, string, or scotch tape and wrap it around your wrist to where the two ends touch and there isn’t any slack. Keep in mind this doesn’t need to be so tight that it cuts off your circulation, but merely a true wrist size without slack.2) Mark this exact length on your string and use a ruler to determine your true wrist size.3) Order this exact wrist size when checking out, and you are good to go!Please remember not to compensate for slack as we do that here in-house based on your true size. Lastly, if you have any questions for our team please shoot us a message and we will gladly walk through the steps with you.for sizing, please measure your wrist EXACT,Not old bracelets or watch bands.",In stock,8
Nebula Adjustable Climbing Bracelet | Carabiner Bracelet | Mens Bracelet | Womens Bracelet | Paracord Bracelet | Gift For Him,18.82,1223.0,RockNShore,"['Handmade item', 'Materials: rope, stainless steel, paracord', 'Can be personalised: No', 'Adjustable: Yes', 'Made to Order']","Our fully adjustable carabiner bracelets are made from genuine American 550 Paracord and include a choice of matt black or grey stainless steel carabiner.Each bracelet is presented in a RockNShore cotton bag and would make an ideal gift for any nautical lover.To adjust the bracelet to fit, simply wrap the bracelet around your wrist and then adjust the sliding knot to get the exact tightness you require. All our bracelets will fit men, women and children perfectly.Once the item is ordered and made, it is then shipped to the relevant country between 3 to 7 business days.For personalised or custom orders please don't hesitate to contact us with any questions.© Images and Text/RockNShore",In stock,111
"Black mens paracord bracelet with unique brass shackle/clasp, viking jewelry, gift for him, mens bangle, armband, viking jewelry, with runes",87.63,1981.0,VikingJewelryPlace,"['Handmade item', 'Materials: Brass', 'Adjustable: Yes']","The bracelet is made of 550 type paracord with shackle which is handmade casted from brass. The shackle and beads are designed by ourselves and implemented with the help of casting workshop.Material of bead: brassshackle: brassSize of bracelet: made to order (PLEASE MEASURE YOUR WRIST AND INDICATE SIZE IN THE NOTE TO ORDER, WE GIVE SPACE FOR COMFORT OURSELVES)Bracelet could be made to order with paracord/microcord of other colour. Each bead (3 different) on photo has 4 rune symbols on each side. SQUARE BEADS WITH RUNES are completely unique as have been designed by us.MEANING of set of runes on each bead.1. square bead with runes DAGAZ, ANSUZ, DAGAZ, OTHALA - means wealth, prosperity, new opportunities, chance, firm basement, home2. square bead with runes Fehu, Sowulo, Othala, Wunju- means welfare, firm basement, home,  living forces, sun3. square bead with runes ANSUZ, URUS, JERA, ANSUZ - means harvest,  success, joy, implemetation of creative ideas, beginnings As for jewelry from BRASS, it has lasting properties and well contacts with water. If you don't use/wear it for long, it may become dull, so you just need to polish its  surface with cloth.Please note the color of the product may slightly very due to display settings.------------------------------------------------------------All packages are nicely wrapped and could be delivered as a gift to the recipient. All packages are sent from Ukraine by the registered air mail and it usually takes from 15 to 30 days to the country of destiny. Please note, due to holidays delivery may be delayed. Feel free to contact if you need something special or you have any questions - I will gladly reply. Thank you for visiting my store.",In stock,395
Paracord bracelet Viking jewelry Odin Men's bracelet Viking style,55.4,464.0,nordwindrus,"['Handmade item', 'Materials: Nylon', 'Style: Celtic']","Paracord bracelet!Men’s bracelet Specify the size of your wrist precisely, the craftsman will add 1 - 3 cm for comfortable wearing.Size bracelet:S - circumference wrist 5.9-6.5 in (15-16 cm);M - circumference wrist 6.7-7.3 in (17-18 cm);L - circumference wrist 7.5-7.9 in (19-20 cm);XL - circumference wrist 8.0- 8.7 in (21-22 cm).X-small(xs)Small(s)Medium(m)Large(L)X-Large(xL)",Only 1 available,46
Engraved Bracelet for Him Personalized Bracelet Couple Bracelets Paracord Bracelet for Her Friendship Bracelet Initial Bracelet Gifts Couple,20.87,27052.0,MakeaWishXO,"['Handmade item\n\nBracelet length: 7.5 Inches\n\nMaterials: Stainless steel, Steel', 'Closure: Interlocking', 'Adjustable: Yes', 'Style: Minimalist', 'Can be personalised: Yes', 'Made to Order']","Engraved Bracelet for Him • Personalized Bracelet • Couple Bracelets •  Paracord Bracelet • Friendship Bracelet • Initial Bracelet Gifts The listing is for one or a set of two engraved bracelets. This is a great gift for significant other, friends, family, loved ones or yourself. Imagine their surprise when they see the special message you sent them. How sweet is that!♥ Product Details• Stainless Steel Bar closure (the bracelet is adjustable). • Paracord available in green, blue and black. See one of the posted images. • Sizes: Standard size is up to 7.5 inches long; large size is approx. 9 inches long. • Inspirational white card made of high quality eco-friendly 100% recycled cardstock paper (4” x 6”) and wrapped in a clear cellophane bag. ♥ H O W ∙ T O ∙ P E R S O N A L I Z E- CHARACTER LIMIT:  we can only accommodate initials or a symbol. In the note to seller section at checkout, please indicate the following: ♥♥ TEXT - the initials or symbol (s) you would like engraved♥♥ FONT STYLE - Fonts 1 to 7 or foreign language/symbols only, see posted image. In addition, please indicate whether you would like the engraving in lower case or upper case♥ Gift Wrapping Option - If you would like to receive the bracelet gift wrapped, please select ""Yes Gift"" at checkout. ♥ FOR MORE OPTIONS OR SPECIAL REQUESTS PLEASE CONVO US♥All pictures, card text and listing text are copyright of Make a Wish ♥ XO ©They may not be used, reproduced or republished without the express consent of the shop owner.",In stock,3
"Eternity Friendship Paracord Bracelet. Adjustable one size fits all. Unisex parachute cord bracelet, tactical survivalist bracelet.",5.0,1.0,ParacordByOliver,"['Handmade item', 'Materials: Cotton, Nylon, Pewter, Polyester', 'Closure: Tie', 'Adjustable: Yes', 'Style: Minimalist', 'Can be personalised: Yes']","Eternity knot friendship bracelet. All bracelets shown are the same size.Custom colors available, contact for more info.Get this special eternal friendship paracord bracelet for yourself and your best friend/significant other.𝐌𝐚𝐝𝐞 𝐟𝐫𝐨𝐦 𝟏𝟎𝟎 𝐩𝐞𝐫𝐜𝐞𝐧𝐭 𝐧𝐲𝐥𝐨𝐧, 𝟓𝟓𝟎 𝐩𝐨𝐮𝐧𝐝 𝐩𝐚𝐫𝐚𝐜𝐡𝐮𝐭𝐞 𝐜𝐨𝐫𝐝.Each bracelet is adjustable with a sliding knot on it. One size fits all, from 7 to 11 inch wrist size.𝗘𝘃𝗲𝗿𝘆 𝗯𝗿𝗮𝗰𝗲𝗹𝗲𝘁 𝗶𝘀 𝗵𝗮𝗻𝗱𝗺𝗮𝗱𝗲 𝘄𝗶𝘁𝗵 𝗰𝗮𝗿𝗲 𝗮𝗻𝗱 𝘁𝗵𝗼𝘂𝗴𝗵𝘁 :). 𝗠𝗮𝗱𝗲 𝗳𝗼𝗿 𝘁𝗵𝗲 𝗿𝘂𝗴𝗴𝗲𝗱, 𝗮𝗱𝘃𝗲𝗻𝘁𝘂𝗿𝗼𝘂𝘀 𝘀𝘂𝗿𝘃𝗶𝘃𝗮𝗹𝗶𝘀𝘁 𝘄𝗶𝘁𝗵𝗶𝗻 𝘆𝗼𝘂 ;)",In stock,No review
"Lavender/Violet Awareness Ribbon Bracelet, Paracord Bracelet, Hodgkin's Disease, Hodgkin's Lymphoma, General Cancers, Testicular Cancer",21.55,12932.0,FordsCordandMore,"['Handmade item', 'Materials: Nylon, Plastic, Polyester', 'Can be personalised: No', 'Adjustable: No', 'Closure: Buckle\n\nBracelet width: 3/4 Inches\n\nMade to Order']","This multi-functional and stylish Lavender/Violet Awareness Ribbon survival, paracord bracelet is a great way to show support and raise awareness for people and causes that are important to you! It comes with a 3/8"" side release buckle for easy closure. The bracelet can be taken apart to be used in any number of emergency situations and look awesome while being worn everyday. This product is completely waterproof! The bracelet will not mildew or rot. Handmade in the USA!***IMPORTANT MEASUREMENT INSTRUCTIONS BELOW. PLEASE READ BEFORE PLACING AN ORDER***Available in 2 different size cords, 550 paracord or 425 paracord. The 550 paracord bracelet is the standard size which is approx. 3/4"" wide. 550 paracord provides a wider band which is preferred by most men or anyone who likes a wide band. The 425 paracord bracelet is approx. 1/2"" wide and is great for women with a small wrist size or children (wrist measurement 5"" - 6.5"") . You can choose the size band you would like for your bracelet. You are welcome to choose the colors you want for your bracelet. Please leave a message in the notes section/box at checkout with your color choices. If no selection is made, the bracelet will be made exactly as shown. See the display photo above to view the paracord color chart.EXAMPLE OF COLORScolor edge - Blackcolor inside - Blackcolor center line & ribbon - LavenderIf you would like to add a metal 3/8"" side release buckle to your bracelet instead of the standard plastic buckle, follow the link below:https://www.etsy.com/listing/167926294/metal-buckle-upgrade-with-any-paracord?ref=shophomeactiveHOW TO MEASURE YOUR WRISTI custom make each bracelet based on your exact wrist measurement. I want the size of your wrist, NOT the length you would like the bracelet. I ask that you follow these 3 steps closely:1) Take a tape measure, string, or scotch tape and wrap it around your wrist to where the two ends touch and there isn’t any slack. Keep in mind this doesn’t need to be so tight that it cuts off your circulation, but merely a true wrist size without slack.2) Mark this exact length on your string and use a ruler to determine your true wrist size.3) Order this exact wrist size from the drop down menu, and you are good to go!Side notes: If you are in-between sizes, round up to the nearest 1/4"". Example: If your exact wrist measurement is 6 3/8"" you need to order a 6 1/2"" wrist measurement. Please remember not to compensate for slack as I do that here in-house based on your true size. You may also leave a message with your exact wrist measurement in the notes section at checkout. You can see the instruction sheet above which will show you how to get a correct wrist measurement. DO NOT measure another bracelet or watch, including another paracord bracelet that you may have. DO NOT ADD ANY EXTRA LENGTH TO YOUR MEASUREMENT! If you do not provide the correct measurement, the bracelet will not fit. All of my bracelets are made to the measurement you select. The bracelet will fit comfortable as long as you follow these instructions. If you have any questions, please do not hesitate to contact me. I am happy to assist you with any questions or concerns you may have.We invite you to visit our entire store.https://www.etsy.com/shop/FordsCordandSuppliesPARACORD SPECIFICATIONS:No emergency kit is complete without 550 Paracord (Parachute Cord). This useful cordage can be used for anything from securing equipment to tying your shoes. As if it wasn't useful enough, it can also be gutted, with the inner strands used for fishing line, sewing, dental floss, etc.* Type III - Commercial Grade * 550 lb Breaking Strength * 7-Strand (2-Ply) Inner Core * 5/32"" Diameter * 100% Nylon Material * Mildew & Rot Resistant * Made in the USA by a certified U.S. Government ContractorIf you like 550 Paracord, then you'll love 425 Tactical Cord. Tactical Cord fills the gap between Type I Paracord and Type III Paracord (aka 550 Paracord).Taking up less space but still having a high breaking strength of 425 lbs., Tactical Cord can be used for anything from securing equipment to tying your shoes. As if it wasn't useful enough, it can also be gutted, with the 3 inner strands used for fishing line, sewing, dental floss, etc.425 Paracord/Tactical Cord:* 425 lb Breaking Strength * 3-Strand (2-Ply) Inner Core * 1/8"" Diameter * 100% Nylon Material * Mildew & Rot Resistant * Made in the USA by a certified U.S. Government Contractor Tensile Strength breakdown of 425 Paracord: Outside Sheath - 320 lbs Inner Strand - 35 lbs each x 3 strandsShow support for the following: General Cancer (all cancers), Hodgkin's Disease, Hodgkin's Lymphoma, Testicular Cancer****Unauthorized use of these photos is strictly prohibited without written consent of Ford's Cord****",In stock,1
Bearded Skull - Paracord Bracelet.,77.88,273.0,RedrockByKandaurov,"['Handmade item', 'Materials: Nylon', 'Made to Order']","Bracelet Paracord/microcord ""Bearded Skull"" Paracord USA Atwood ropeHandcraft.Attention, to order, measure exactly your wrist.",In stock,68
"Paracord Friendship Bracelet, Friendship Bracelet, Paracord Minimalist Bracelet, Paracord Bracelet, Simple Paracord Bracelet, Knot Bracelet",2.77,2713.0,ParacordInspirations,No info,My bracelets are made with Type III 7 Strand 550 Paracord. These wonderful paracord friendship bracelets are perfect for you and your friends.**TURNAROUND**All my paracord items are handcrafted and made-to-order. Please visit the shipping tab on this page for our most current turnaround time.,In stock,572
Predator paracord bracelet,104.33,1.0,HelenMurParacord,"['Handmade item', 'Materials: Brass, Nylon', 'Closure: D-ring', 'Adjustable: No']",Predator paracord bracelet,Only 1 available,No review
"Cobra Paracord Bracelet, Snake Bracelet, Paracord Bead in Cobra Style, Gift for Him, Animal Theme, Handmade, Personal and Customizable",31.98,255.0,WanYaoJewelry,"['Handmade item\n\nBracelet width: 2.5 Centimetres\n\nMaterials: Brass', 'Closure: Buckle', 'Adjustable: Yes', 'Style: Art nouveau', 'Can be personalised: Yes', 'Made to Order']","Private Custom✔The WanYao Original Design✔You have never seen this natural body bracelet. ✔The unique knots are hand cut (see instagram @WanYaoshop for details).✔A bronze statue of the king cobra of ancient times.✔It represents awe of nature and affirmation and self-confidence for one's own strength. ✔The tail is adjustable, and the image shows the appearance of the King Cobra.✔It is integrated with the bracelet and is perfectly designed and matched, Very distinctive bracelet. ✔Order 36 colors (see product picture). ✔Don't forget to measure the circumference of your wrist before ordering!!The beads are made of solid copper and are free of lead, zinc, nickel and cadmium. A coating that does not oxidize. The surface treatment process gives it a unique textured appearance.",In stock,18
Orange Paracord Bracelet,18.0,198.0,BijouxBohemesBloom,"['Handmade item', 'Materials: paracorde, corde', 'Adjustable: Yes', 'Made to Order']","Paracord Bracelet / adjustable / suitable for men and women.Need a piece of string? Just cut the knot of the bracelet and undo, so you get 10 to 11 feet of rope.Woven by hand with love and care!",In stock,33
Paracord Bracelet,15.0,19.0,CTDesigns2,"['Handmade item', 'Materials: Nylon, Plastic', 'Closure: Snap lock', 'Adjustable: No', 'Style: Gothic', 'Can be personalised: No']",Multi color Paracord Bracelet,Only 1 available,4
"Fathers Day Gift, Anklet, Bullet Bracelet, Fishhook, Anchor, Paracord, Men's, Groomsmen, Black, 275 lb. Cord",16.69,3432.0,ThePerfectHeist,No info,"Make a fashion statement! This bracelet is in cobra weave, 100% USA made paracord, military grade.This bracelet comes in colors of Black- can be worn in reverse colors275 lb. paracordSilver fishhook and anchor - soft metal - will not puncture skinBullets are genuine and come in variety of calibers Lead & Nickle freeTo clean these simply lather with shampoo in the shower* * * Please measure your wrist only! Take a tape measure, wrap it around your wrist, what that reads is your wrist measurement that I am needing. I don't need your bracelet size! I will accommodate the bracelet to your wrist measurement. * * *All photos are property of ©The Perfect Heist. Bullet Fishhook™ & Bullet Bracelets™ have been Trademarked since 2014.",In stock,364
Trump Paracord Bracelet,28.39,579.0,ParacrazyCordsLLC,"['Handmade item', 'Closure: Buckle\n\nBracelet width: 3/4 Inches\n\nMade to Order']","Handmade bracelet made out of 550 Paracord,. All materials made in the United States. Colors can be changed if desired please put in comment section of checkout.Made to fit each person individually. To get your wrist size take a piece of string or ribbon and wrap it with no slack around your wrist and measure. There will be no refunds for improper measurements. All work is guaranteed and backed 100%.",In stock,57
Cord bayonet men paracord bracelet of extra class-various colors,49.1,514.0,Cordbraid,"['Handmade item', 'Materials: Nylon, Stainless steel', 'Style: Brutalist']","Stylish bracelet of the extra class -This bracelet is made not only for casual brides but also for tough guys!The 7 mm self braided rope made of 550 paracord cord comes with a stainless steel bajinett clasp!Individually, of course, and not off the shelf! Each bracelet is made by me, 100% handmade.To make the bracelet fit perfectly, I still need your tight wrist size.Please measure this directly on the arm and without addition(no other bracelet that distorts the size and the bracelet becomes too large).I then add cm to make everything fit perfectly",In stock,96
Navy Paracord Bracelet,28.39,579.0,ParacrazyCordsLLC,"['Handmade item\n\nBracelet width: 3/4 Inches\n\nMaterials: metal adjustable shackle, 275 tactical cord, 550 paracord, shoelace charm, Made in the USA', 'Adjustable: Yes', 'Can be personalised: No', 'Made to Order']","Handmade bracelet made out of 550 Paracord,. All materials made in the United States. Colors can be changed if desired please put in comment section of checkout.Comes with a metal adjsutable shackle that makes it adjustable a 1/4 inch either way. Made to fit each person individually. To get your wrist size take a piece of string or ribbon and wrap it with no slack around your wrist and measure. There will be no refunds for improper measurements. All work is guaranteed and backed 100%.",In stock,57
"Premium Paracord bracelet Dragon, men accessory, EDC paracord bracelet, mens bracelet, military bracelet paracord, jewelry men, women",93.2,175.0,Cetus550,"['Handmade item', 'Materials: Brass', 'Adjustable: No', 'Can be personalised: Yes', 'Made to Order']","Paracord bracelet with author's accessories. Insert with a Chinese-style Dragon image. ✔Insert Dragon, jewelry bronze. ✔Author's work. ✔Clevant clasp, brass. ✔Atwood Paracord.The bracelet is made according to the size of the customer's hand. The size is provided accurate, without allowances. The colors of the bracelet are negotiated individually.",In stock,30
"The Hannya Mask Premium Paracord Bracelet by ThreeBrclt, Oni Mask, Samurai, Assassin, Spartan, Japanese, Ronin, Warrior, Viking, demon Oni",138.0,274.0,THREEBRCLT,No info,"Video :https://youtu.be/BFCwrFOUY04Materials- Demon Hannya Premium Brass Bead (w/wo Garnet) - Cross Shackle with Feathers  Premium Brass Shackle.- Atwood America Paracord - Modified Sanctified Knot. Oni Necklace available now! https://www.etsy.com/listing/780609960/the-demon-oni-necklace-with-garnet-oniPlease contact Me before order and Leave a note for your wrist size and contact number as well.For other countries shipping costs which are not showed in this listing, contact me, i will check and update it.Feel free to ask :) Thank you.",In stock,58
"The Demon Oni X Demon Hannya Premium Paracord Bracelet, Hannya Mask,Oni Mask,Japanese Themed,Samurai,Skull,Spartan,Viking,Shogun,Ronin, Edc.",173.88,274.0,THREEBRCLT,No info,"Video Reference :https://youtu.be/S-ch2VMenu0Materials- Demon Oni Bead Brass Black Oxide. - Demon Hannya Bead Brass Black Oxide. - Catapult Shackle Brass Black Oxide.- Atwood Paracord Black and Grey Diamond - Zipper Sinnet Knot. Oni Necklace available now! https://www.etsy.com/listing/780609960/the-demon-oni-necklace-with-garnet-oniPlease contact Me before order and if you want to place an order please Leave a note for your exact wrist size and contact number as well.For other countries shipping costs which are not showed in this listing, contact me, i will check and update it.Feel free to ask :) Thank you.",Low in stock,58
